1 117 6 120.066
2 100 5 101.232
3 88 4 85.3528
4 72 4 71.9642
6 53 4 51.1581
9 29.5 3 30.6627
10 25.2 3 25.8529
13 15.2 2 15.4955
15 11.1 2 11.0155
