-3 -0.999978
-2.95 -0.999969
-2.9 -0.999958
-2.85 -0.999944
-2.8 -0.999924
-2.75 -0.999898
-2.7 -0.999865
-2.65 -0.99982
-2.6 -0.999763
-2.55 -0.999688
-2.5 -0.999592
-2.45 -0.99947
-2.4 -0.999312
-2.35 -0.999111
-2.3 -0.998857
-2.25 -0.998537
-2.2 -0.998137
-2.15 -0.997639
-2.1 -0.997021
-2.05 -0.996258
-2 -0.995321
-1.95 -0.994178
-1.9 -0.99279
-1.85 -0.991111
-1.8 -0.98909
-1.75 -0.986671
-1.7 -0.98379
-1.65 -0.980375
-1.6 -0.976348
-1.55 -0.971623
-1.5 -0.966105
-1.45 -0.959695
-1.4 -0.952285
-1.35 -0.943761
-1.3 -0.934007
-1.25 -0.922899
-1.2 -0.910314
-1.15 -0.896124
-1.1 -0.880205
-1.05 -0.862436
-1 -0.842701
-0.95 -0.820891
-0.9 -0.796908
-0.85 -0.770668
-0.8 -0.742101
-0.75 -0.711156
-0.7 -0.677801
-0.65 -0.642029
-0.6 -0.603856
-0.55 -0.563323
-0.5 -0.5205
-0.45 -0.475482
-0.4 -0.428392
-0.35 -0.379382
-0.3 -0.328627
-0.25 -0.276326
-0.2 -0.222703
-0.15 -0.167996
-0.1 -0.112463
-0.05 -0.056372
-2.28983e-15 -2.5838e-15
0.05 0.056372
0.1 0.112463
0.15 0.167996
0.2 0.222703
0.25 0.276326
0.3 0.328627
0.35 0.379382
0.4 0.428392
0.45 0.475482
0.5 0.5205
0.55 0.563323
0.6 0.603856
0.65 0.642029
0.7 0.677801
0.75 0.711156
0.8 0.742101
0.85 0.770668
0.9 0.796908
0.95 0.820891
1 0.842701
1.05 0.862436
1.1 0.880205
1.15 0.896124
1.2 0.910314
1.25 0.922899
1.3 0.934007
1.35 0.943761
1.4 0.952285
1.45 0.959695
1.5 0.966105
1.55 0.971623
1.6 0.976348
1.65 0.980375
1.7 0.98379
1.75 0.986671
1.8 0.98909
1.85 0.991111
1.9 0.99279
1.95 0.994178
2 0.995321
2.05 0.996258
2.1 0.997021
2.15 0.997639
2.2 0.998137
2.25 0.998537
2.3 0.998857
2.35 0.999111
2.4 0.999312
2.45 0.99947
2.5 0.999592
2.55 0.999688
2.6 0.999763
2.65 0.99982
2.7 0.999865
2.75 0.999898
2.8 0.999924
2.85 0.999944
2.9 0.999958
2.95 0.999969
3 0.999978
