300 0.02
350 0.03
400 0.05
450 0.07
500 0.09
550 0.12
600 0.16
650 0.21
700 0.26
750 0.32
800 0.38
850 0.46
900 0.55
950 0.65
1000 0.75
1050 0.88
1100 1.01
1150 1.15
1200 1.30
1250 1.47
1300 1.66
1350 1.86
1400 2.06
1450 2.29
1500 2.53
